Date & Time,Event Name,Location,Additional Info,Remaining Requirement
Saturday - 11 April 2026 11:30–17:30,"NNDS The Haris Simpson Charity Cup - NER021Red House Senior School Football Pitch, 36 The Green, Norton, Stockton.. TS20 1DX",REQ,,"1× CFA, 1× ER"
Saturday - 11 April 2026 11:30–14:00,"Emergency First Aid Demonstration and TalkThe Millennium Hall, Church Lane, Riding Mill, Gateshead NE44 6DR",REQ,,
Saturday - 11 April 2026 11:30–15:30,"NEHM - Hull Kingston Rovers v York Knights - NER109Craven Park, Poorhouse Lane, Hull HU9 5HE",REQ,,"5× CFA, 5× ER"
Saturday - 11 April 2026 13:30–17:30,"NSYM - Rotherham United v Barnsley - NER104New York Stadium, New York Way, Rotherham S60 1AH",REQ,,"4× CDT, 7× CFA, 5× ER"
Saturday - 11 April 2026 13:30–17:30,"NWYM - Bradford City v Stevenage - NER101University of Bradford Stadium, Valley Parade, Bradford, West Yorkshir.. BD8 7DY",REQ,,"10× CFA, 8× ER"
Saturday - 11 April 2026 13:30–17:30,"NSYM Doncaster Rovers v Reading - NER103Eco Power Stadium, Stadium Way, Doncaster, South Yorkshire DN4 5JW",REQ,,"8× CDT, 11× FA, 1× AFA"
Sunday - 12 April 2026 09:00–17:00,"Hornsea Water Safety Day - Emergency Services Day - Community EngagementFloral Hall, Esplanade, Hornsea, East Riding of Yorkshire HU18 1NQ",REQ,,
Sunday - 12 April 2026 09:30–16:30,"NEHC Water Safety Event - Emergency Services Day - NER052Floral Hall, Esplanade, Hornsea, East Yorkshire HU18 1NQ",REQ,,2× CFA
Sunday - 12 April 2026 09:30–18:00,"NWYM - YCC v Hampshire - NER113Headingley Stadium, St Michael's Lane, Headingley, Leeds LS6 3BR",REQ,,"1× CFA, 1× ER"
Monday - 13 April 2026 09:30–18:00,"NWYM - YCC v Hampshire - NER113Headingley Stadium, St Michael's Lane, Headingley, Leeds LS6 3BR",REQ,,"1× CFA, 1× ER"
Monday - 13 April 2026 11:30–15:00,"NWYC Almoners Lunch - NER032 Cedar Court, Mayo Ave, Rooley Lane, Bradford, West Yorkshire BD5 8HW",REQ,,2× CFA
Monday - 13 April 2026 18:00–21:00,"NNDS - NUFC U 21 s v Wolves - NER105Whitley Park, Whitley Road, Newcastle upon Tyne, Tyne and Wear NE12 9FA",REQ,,2× FA
Tuesday - 14 April 2026 10:00–14:00,"NWYC Children's Symposium - NER033The Barbara Hepworth Building - Huddersfield Uni, Queensgate Campus, H.. HD1 3DH",REQ,,2× CFA
Wednesday - 15 April 2026 10:00–14:00,"NWYS Children's Symposium - NER033The Barbara Hepworth Building - Huddersfield Uni, Queensgate Campus, H.. HD1 3DH",REQ,,2× CFA
Wednesday - 15 April 2026 10:30–18:30,"NEHM - Beverley Raceday - NER107The Racecourse, York Road, Beverley, East Yorkshire HU17 8QZ",REQ,,"3× CFA, 1× ER, 1× FATC"
Saturday - 25 April 2026 06:00–22:00,Capacity Warning NNY - Harrogate Flower Show 23-26/5North Region NE4 9PQ,REQ,,
Saturday - 25 April 2026 09:00–17:30,"NNYM - Harrogate Spring Flower Show - NER143Yorkshire Events Centre, Harrogate HG2 8NZ",REQ,,"2× CFA, 2× ER, 2× CREW, 1× FATC, 1× AMB"
Saturday - 25 April 2026 09:30–16:30,"NNDS - Living North Spring Fair North East - NER118Newcastle Racecourse, High Gosforth Park, Newcastle, Tyne and Wear NE3 5HP",REQ,,"1× CFA, 1× ER"
Saturday - 25 April 2026 09:30–18:00,"NWYM - YCC v Sussex - NER113Headingley Stadium, St Michael's Lane, Headingley, Leeds LS6 3BR",REQ,,"1× CFA, 1× ER"
Saturday - 25 April 2026 10:30–17:00,"NWYC Marsden Cuckoo Festival - NER033Marsden Village, Peel Street, Marsden, West Yorkshire HD7 6BW",REQ,,2× CFA
Saturday - 25 April 2026 11:00–15:00,"NSYM Doncaster Rovers v Stevenage - NER103Eco Power Stadium, Stadium Way, Doncaster, South Yorkshire DN4 5JW",REQ,,"8× CDT, 11× FA, 1× AFA"
Saturday - 25 April 2026 11:00–15:00,"NWYC St Georges Day - NER032Keighley Town Hall Square, Keighley, West Yorkshire BD21 3RZ",REQ,,2× CFA
Saturday - 25 April 2026 11:30–17:00,"NWYM - Leeds Rhinos Womens match - NER106AMT Headingley Stadium, St Michael's Lane, Leeds LS6 3BU",REQ,,1× ER
Saturday - 25 April 2026 13:30–17:30,"NSYM - Rotherham United v Reading - NER104New York Stadium, New York Way, Rotherham S60 1AH",REQ,,"4× CDT, 7× CFA, 5× ER"
Saturday - 25 April 2026 13:30–17:30,"NWYM - Bradford City v Bolton - NER101University of Bradford Stadium, Valley Parade, Bradford, West Yorkshir.. BD8 7DY",REQ,,"10× CFA, 8× ER"
Sunday - 26 April 2026 06:00–22:00,Capacity Warning NNY - Harrogate Flower Show 23-26/5North Region NE4 9PQ,REQ,,
Sunday - 26 April 2026 06:00–22:00,Capacity Warning London MarathonNorth Region NE4 9PQ,REQ,,
Sunday - 26 April 2026 08:00–00:00,"SWLL - TCS London Marathon - LON130Marathon House, 190 Great Dover Street SE1 4YB",REQ,,
Sunday - 26 April 2026 09:00–16:00,"NWYC Royal Society of Saint George - NER030Morley Rugby Club, Scatcherd Lane, Morley, West Yorkshire LS27 0JJ",REQ,,2× CFA
Sunday - 26 April 2026 09:00–16:00,"St George Festival Fundraiser and community EngagementMorley Rugby Club, Scatcherd Lane, Morley LS27 0JJ",REQ,,
Sunday - 26 April 2026 09:00–17:30,"NNYM - Harrogate Spring Flower Show - NER143Yorkshire Events Centre, Harrogate HG2 8NZ",REQ,,"2× CFA, 2× ER, 2× CREW, 1× AMB"
Sunday - 26 April 2026 09:30–16:30,"NNDS - Living North Spring Fair North East - NER118Newcastle Racecourse, High Gosforth Park, Newcastle, Tyne and Wear NE3 5HP",REQ,,"1× CFA, 1× ER"
Sunday - 26 April 2026 09:30–18:00,"NWYM - YCC v Sussex - NER113Headingley Stadium, St Michael's Lane, Headingley, Leeds LS6 3BR",REQ,,"1× CFA, 1× ER"
Sunday - 26 April 2026 11:00–15:00,"NSYC Crookes Street Market - NER040Stannington View Road, Crookes, Sheffield, S Yorkshire S10 1WL",REQ,,"2× CDT, 2× CFA, 1× FATC"
Sunday - 26 April 2026 14:00–17:30,"NSYM - Dons Rugby v London - NER125Eco Power Stadium, Stadium Way, Doncaster, South Yorkshire DN4 5JW",REQ,,"2× CDT, 2× CFA"
Monday - 27 April 2026 09:30–18:00,"NWYM - YCC v Sussex - NER113Headingley Stadium, St Michael's Lane, Headingley, Leeds LS6 3BR",REQ,,"1× CFA, 1× ER"
Monday - 27 April 2026 09:30–11:30,"Emergency First Aid Demonstration and TalkST Gregory's RC Church, 99 Boro Road , South Shields NE34 6NR",REQ,,
Monday - 27 April 2026 19:30–21:00,"SAL event - Whitby Whalers URC Flowergate, Whitby YO213AA",REQ,,
Tuesday - 28 April 2026 09:00–10:45,"Paediatric Demonstration and TalkColby Court, Newcastle , Corbridge, Whitley Bay NE4 6HL",REQ,,
Tuesday - 28 April 2026 12:30–16:00,"The Order of St John Award for Organ Donation CeremonyFriargate Quaker Meeting House, Lower Friargate, Clifford Street, York YO1 9RL",REQ,,
Tuesday - 28 April 2026 17:30–21:00,"FA Talk @ 28th Doncaster Scout & CubsThe Scout Hall, Anchorage Lane, Sprotbrough DN5 8DT",REQ,,
Tuesday - 28 April 2026 18:00–22:00,"NSYM County Cup Final - NER103Eco Power Stadium, Stadium Way, Doncaster, South Yorkshire DN4 5JW",REQ,,2× CFA
Tuesday - 28 April 2026 18:30–21:45,"Riccall: First Aid Village - Group 3, Session 2Regen Centre, Landing Lane, Riccall, York YO19 6PW",REQ,,
Wednesday - 29 April 2026 12:00–17:30,"NWYM - Pontefract Races - NER108Pontefract Racecourse, Pontefract Park, Park Road, Pontefract WF8 4QD",REQ,,"2× CFA, 1× ER"
Wednesday - 29 April 2026 16:00–21:00,"NWYM - Varsity - NER106AMT Headingley Stadium, St Michael's Lane, Leeds LS6 3BU",REQ,,"10× CFA, 10× ER"
Wednesday - 29 April 2026 18:00–21:30,"NNDS NECAA - NEGP 1 - NER023Monkton Stadium, Dene Terrace, Jarrow, Tyne & Wear NE32 5NJ",REQ,,"1× CFA, 1× ER"
Wednesday - 29 April 2026 18:00–22:00,"NSYM Womens County Cup Final - NER103Eco Power Stadium, Stadium Way, Doncaster, South Yorkshire DN4 5JW",REQ,,2× CFA
Wednesday - 29 April 2026 22:30–03:00,"NEHS Tower Spring 2026 - NER050Hull University Student Union, Student Central, University of Hull HU6 7RX",REQ,,2× CFA
Thursday - 30 April 2026 13:00–14:30,"Community Engagement in a sheltered complexRosewood Court, Park Avenue, Roundhay, Leeds LS8 2BL",REQ,,
Thursday - 30 April 2026 18:00–22:00,"NEHM - Hull Kingston Rovers v Wakefield - NER109Sewell Group Craven Park, Poorhouse Lane, Hull HU9 5HE",REQ,,"5× CFA, 5× ER"
Thursday - 30 April 2026 18:00–21:30,"SJA Sunderland Cadets Ambulance AwarenessSt John Ambulance, Unit 30A, Business & Innovation Centre, Wearfie.. SR5 2TA",REQ,,
